"","Package","Downloads"
"1","ttdo",491
"2","MatManlyMix",725
"3","freqtables",454
"4","boxr",1006
"5","compstatr",507
"6","proj4",9606
"7","metaSEM",1293
"8","conicfit",830
"9","grattan",922
"10","mully",251
"11","Rwordseg",786
"12","fdaoutlier",156
"13","TimeProjection",651
"14","hmm.discnp",808
"15","infutil",564
"16","MATA",757
"17","NatureSounds",670
"18","EasyHTMLReport",627
"19","NCA",763
"20","errorist",519
"21","BCA",994
"22","SensusR",542
"23","genius",737
"24","ProcData",289
"25","cvcrand",631
"26","DDoutlier",1479
"27","correlation",6861
"28","catchr",635
"29","complexplus",867
"30","LinCal",629
"31","random",1289
"32","Robocoap",499
"33","tree.interpreter",410
"34","BIS",725
"35","PersianStemmer",618
"36","xSub",528
"37","scorecardModelUtils",465
"38","conditionz",4129
"39","etm",6225
"40","heddlr",468
"41","bpnreg",601
"42","GLIDE",585
"43","movecost",451
"44","frailtypack",2025
"45","rDEA",1111
"46","modifiedmk",616
"47","sdm",983
"48","marqLevAlg",702
"49","telegram.bot",752
"50","SmartSifter",464
"51","baystability",581
"52","airr",826
"53","checkdown",835
"54","bethel",869
"55","multdyn",525
"56","whoami",11712
"57","edgedata",463
"58","statswalesr",152
"59","FossilSim",542
"60","BTdecayLasso",518
"61","ProcMod",475
"62","gsDesign",1600
"63","quickblock",486
"64","E4tools",502
"65","ES",776
"66","LMERConvenienceFunctions",1276
"67","TreeSim",1467
"68","latexpdf",6442
"69","Rknots",549
"70","R2ucare",498
"71","untb",806
"72","spi",801
"73","jaggR",475
"74","bdpopt",706
"75","cowplot",302539
"76","ritis",2654
"77","sdols",725
"78","paf",518
"79","subcopem2D",657
"80","CALF",669
"81","crantastic",755
"82","statgenGWAS",450
"83","SpectralMap",484
"84","atus",908
"85","relMix",822
"86","stapler",528
"87","WriteXLS",7248
"88","analogue",1605
"89","Bchron",1669
"90","inum",33271
"91","RJDBC",25059
"92","mutSignatures",784
"93","usl",595
"94","cropdatape",821
"95","psbcGroup",541
"96","QGglmm",563
"97","Sequential",1506
"98","TreeTools",759
"99","eiPack",838
"100","locpol",2321
"101","LogisticDx",1062
"102","riv",724
"103","depigner",411
"104","strucchange",52931
"105","stat.extend",388
"106","glassdoor",596
"107","robustlmm",3320
"108","epxToR",640
"109","functools",626
"110","lazytrade",893
"111","Lmoments",3925
"112","preseqR",873
"113","MiDA",461
"114","TreeDiagram",245
"115","tcftt",494
"116","lsr",9224
"117","poweRlaw",2860
"118","IsingSampler",1521
"119","RobLoxBioC",470
"120","LipidMSdata",456
"121","htestClust",560
"122","gcmr",746
"123","ImpactEffectsize",648
"124","source.gist",470
"125","ImpactIV",570
"126","GD",586
"127","TRD",638
"128","abcrf",1167
"129","ProDenICA",502
"130","combinedevents",392
"131","AurieLSHGaussian",709
"132","interimApp",453
"133","ggnormalviolin",515
"134","shiny.i18n",1440
"135","ciTools",1458
"136","reval",510
"137","fieldRS",362
"138","flsa",870
"139","SurvRegCensCov",871
"140","DepLogo",495
"141","keyplayer",683
"142","NetworkComparisonTest",1464
"143","keep",807
"144","pixels",488
"145","shinycssloaders",17177
"146","tracerer",676
"147","stablespec",500
"148","ndtv",1662
"149","kntnr",746
"150","machina",619
"151","difconet",613
"152","bio3d",1958
"153","rAmCharts",1101
"154","utile.visuals",410
"155","highfrequency",1734
"156","cin",765
"157","SoftRandomForest",353
"158","Paneldata",831
"159","SwissAir",598
"160","stR",831
"161","highSCREEN",596
"162","QRank",485
"163","fdrDiscreteNull",623
"164","SeqDetect",399
"165","colorednoise",825
"166","crossword.r",529
"167","ider",561
"168","ArrayBin",917
"169","eventInterval",618
"170","crisp",602
"171","fRLR",504
"172","acss",822
"173","vosonSML",1542
"174","MCDM",530
"175","bor",677
"176","mltest",727
"177","robustrank",657
"178","ROI.plugin.clp",321
"179","BayesSpec",679
"180","lfda",1291
"181","IGG",499
"182","GenomicTools",772
"183","RMixtComp",412
"184","GenOrd",821
"185","AssocTests",778
"186","varEst",386
"187","PST",569
"188","cna",1086
"189","KTensorGraphs",946
"190","pcr",834
"191","caRpools",549
"192","noweb",819
"193","locits",696
"194","ctsem",1166
"195","plot3logit",551
"196","expp",583
"197","tsdb",486
"198","customizedTraining",626
"199","lavaan.survey",2798
"200","rhosa",424
"201","leaderCluster",725
"202","primes",924
"203","parallelML",546
"204","EcoNetGen",556
"205","TSTutorial",610
"206","trackdf",389
"207","ktaucenters",469
"208","AEDForecasting",819
"209","opencv",898
"210","vmd",505
"211","ciuupi",532
"212","RKEELdata",573
"213","EditImputeCont",583
"214","phyext2",581
"215","MplusAutomation",2995
"216","qgg",506
"217","likelihoodAsy",617
"218","hiphop",346
"219","pewdata",523
"220","tboot",330
"221","scriptexec",430
